slug,title,category,difficulty,url
maximum-subarray,Maximum Subarray,Greedy,Medium,https://neetcode.io/problems/maximum-subarray
jump-game,Jump Game,Greedy,Medium,https://neetcode.io/problems/jump-game
jump-game-ii,Jump Game II,Greedy,Medium,https://neetcode.io/problems/jump-game-ii
gas-station,Gas Station,Greedy,Medium,https://neetcode.io/problems/gas-station
hand-of-straights,Hand of Straights,Greedy,Medium,https://neetcode.io/problems/hand-of-straights
merge-triplets-to-form-target,Merge Triplets to Form Target Triplet,Greedy,Medium,https://neetcode.io/problems/merge-triplets-to-form-target
partition-labels,Partition Labels,Greedy,Medium,https://neetcode.io/problems/partition-labels
valid-parenthesis-string,Valid Parenthesis String,Greedy,Medium,https://neetcode.io/problems/valid-parenthesis-string
insert-new-interval,Insert Interval,Intervals,Medium,https://neetcode.io/problems/insert-new-interval
merge-intervals,Merge Intervals,Intervals,Medium,https://neetcode.io/problems/merge-intervals
non-overlapping-intervals,Non Overlapping Intervals,Intervals,Medium,https://neetcode.io/problems/non-overlapping-intervals
meeting-schedule,Meeting Rooms,Intervals,Easy,https://neetcode.io/problems/meeting-schedule
meeting-schedule-ii,Meeting Rooms II,Intervals,Medium,https://neetcode.io/problems/meeting-schedule-ii
minimum-interval-including-query,Minimum Interval to Include Each Query,Intervals,Hard,https://neetcode.io/problems/minimum-interval-including-query
rotate-matrix,Rotate Image,Math & Geometry,Medium,https://neetcode.io/problems/rotate-matrix
spiral-matrix,Spiral Matrix,Math & Geometry,Medium,https://neetcode.io/problems/spiral-matrix
set-zeroes-in-matrix,Set Matrix Zeroes,Math & Geometry,Medium,https://neetcode.io/problems/set-zeroes-in-matrix
non-cyclical-number,Happy Number,Math & Geometry,Easy,https://neetcode.io/problems/non-cyclical-number
plus-one,Plus One,Math & Geometry,Easy,https://neetcode.io/problems/plus-one
pow-x-n,"Pow(x, n)",Math & Geometry,Medium,https://neetcode.io/problems/pow-x-n
multiply-strings,Multiply Strings,Math & Geometry,Medium,https://neetcode.io/problems/multiply-strings
count-squares,Detect Squares,Math & Geometry,Medium,https://neetcode.io/problems/count-squares
single-number,Single Number,Bit Manipulation,Easy,https://neetcode.io/problems/single-number
number-of-one-bits,Number of 1 Bits,Bit Manipulation,Easy,https://neetcode.io/problems/number-of-one-bits
counting-bits,Counting Bits,Bit Manipulation,Easy,https://neetcode.io/problems/counting-bits
reverse-bits,Reverse Bits,Bit Manipulation,Easy,https://neetcode.io/problems/reverse-bits
missing-number,Missing Number,Bit Manipulation,Easy,https://neetcode.io/problems/missing-number
sum-of-two-integers,Sum of Two Integers,Bit Manipulation,Medium,https://neetcode.io/problems/sum-of-two-integers
reverse-integer,Reverse Integer,Bit Manipulation,Medium,https://neetcode.io/problems/reverse-integer
